SWV ITM Data Console - ITM Port: 0
-1045.469238
X: 2.484849, Y: 168.951447, Z: -1037.877563
X: 5.636364, Y: 168.834946, Z: -1039.346924
X: 2.848485, Y: 167.320389, Z: -1038.734619
X: 4.424242, Y: 168.252411, Z: -1039.224365
X: 3.090910, Y: 166.388336, Z: -1038.489746
X: 4.545455, Y: 168.019409, Z: -1039.224365
X: 4.666667, Y: 168.135910, Z: -1038.244873
X: 7.454545, Y: 165.223297, Z: -1039.836670
X: 5.393939, Y: 169.766983, Z: -1037.755127
X: 0.787879, Y: 169.766983, Z: -1039.102051
X: 3.696970, Y: 170.349503, Z: -1042.285645
X: 4.424242, Y: 168.951447, Z: -1039.959229
X: 7.454545, Y: 167.902908, Z: -1040.081543
X: 3.575758, Y: 168.601929, Z: -1038.612305
X: 3.939394, Y: 168.252411, Z: -1040.693848
X: 5.393939, Y: 166.854355, Z: -1038.979492
X: 4.909091, Y: 167.553391, Z: -1039.102051
X: -1.393939, Y: 165.689316, Z: -1038.244873
X: 5.757576, Y: 169.650482, Z: -1039.836670
X: 8.303030, Y: 168.601929, Z: -1038.734619
X: 4.666667, Y: 166.621353, Z: -1039.469360
X: 5.272727, Y: 170.466003, Z: -1041.673462
X: 6.000000, Y: 168.601929, Z: -1038.367310
X: 3.696970, Y: 166.737854, Z: -1039.346924
X: 6.727273, Y: 166.737854, Z: -1037.510132
X: 2.484849, Y: 167.902908, Z: -1041.061279
X: 6.242424, Y: 170.116486, Z: -1038.734619
X: 3.696970, Y: 168.718445, Z: -1043.265259
X: 2.606061, Y: 166.504852, Z: -1036.285645
X: 9.030303, Y: 171.165039, Z: -1037.387695
X: 6.121212, Y: 172.679596, Z: -1036.163208
X: 0.181819, Y: 169.067963, Z: -1040.326416
X: 5.030303, Y: 167.786407, Z: -1039.346924
X: 5.515152, Y: 169.533981, Z: -1040.448975
X: 0.545455, Y: 169.300964, Z: -1036.040771
X: 1.393940, Y: 168.019409, Z: -1039.836670
X: 7.212121, Y: 167.553391, Z: -1040.816284
X: 4.060606, Y: 170.233002, Z: -1037.632568
X: 3.454546, Y: 168.834946, Z: -1040.326416
X: 4.303030, Y: 170.932037, Z: -1040.081543
X: 4.787879, Y: 169.184464, Z: -1039.591797
X: 4.666667, Y: 168.951447, Z: -1039.959229
X: 2.363637, Y: 169.883484, Z: -1041.183594
X: 3.818182, Y: 169.883484, Z: -1040.816284
X: 5.757576, Y: 168.485428, Z: -1041.183594
X: 1.393940, Y: 166.038818, Z: -1038.857178
X: 3.575758, Y: 171.165039, Z: -1038.612305
X: 0.909091, Y: 166.737854, Z: -1040.204102
X: 7.696970, Y: 170.116486, Z: -1040.081543
X: 3.454546, Y: 168.601929, Z: -1039.224365
X: 2.242425, Y: 168.135910, Z: -1042.163208
X: 3.818182, Y: 166.621353, Z: -1038.000000
X: 4.787879, Y: 169.650482, Z: -1039.714355
X: -0.181818, Y: 166.854355, Z: -1041.428467
X: 5.272727, Y: 168.019409, Z: -1040.448975
X: 4.181818, Y: 169.766983, Z: -1040.204102
X: 5.393939, Y: 167.669907, Z: -1040.204102
X: 5.393939, Y: 168.368927, Z: -1042.163208
X: 6.000000, Y: 167.436890, Z: -1041.306152
