SWV ITM Data Console - ITM Port: 0
X: 1372.424072, Y: -738.504822, Z: -25.591839
X: 1171.818115, Y: -353.223297, Z: -42.979591
X: 1249.030273, Y: -157.378647, Z: -89.387756
X: 1343.939331, Y: 16.912621, Z: -220.653061
X: 1243.939331, Y: 218.000000, Z: -415.346924
X: 1053.272583, Y: 245.145615, Z: -180.244904
X: 708.787842, Y: 251.203888, Z: -58.040817
X: 356.181793, Y: 77.029121, Z: 180.244888
X: -138.848480, Y: 118.155334, Z: 463.591797
X: -186.363617, Y: -20.368931, Z: 462.244873
X: -457.515137, Y: -55.203880, Z: 378.979584
X: -321.757568, Y: 1.766990, Z: 89.387741
X: 57.393936, Y: 4.213592, Z: -140.326538
X: 590.000000, Y: -340.291229, Z: -107.877548
X: 883.575684, Y: -370.932007, Z: -155.020401
X: 1286.848389, Y: -610.815491, Z: -84.367348
X: 1352.181763, Y: -841.378662, Z: -557.265259
X: 1869.515015, Y: -662.893188, Z: 325.346924
X: 1581.515015, Y: -802.232971, Z: -466.040802
X: 1095.696899, Y: -946.815491, Z: -648.857178
X: 933.272644, Y: -1011.941711, Z: -299.510193
