SWV ITM Data Console - ITM Port: 0
X: -99.454544, Y: -223.553391, Z: 904.530579
X: -95.090904, Y: -221.572815, Z: 906.244873
X: -96.545448, Y: -223.553391, Z: 903.550964
X: -99.212112, Y: -220.407761, Z: 905.142822
X: -98.121208, Y: -215.864075, Z: 908.448914
X: -94.606056, Y: -219.475723, Z: 908.081604
X: -93.393936, Y: -221.223297, Z: 903.183655
X: -95.818169, Y: -224.252411, Z: 902.326477
X: -98.848473, Y: -221.805817, Z: 902.448914
X: -100.545441, Y: -217.378632, Z: 905.632629
X: -98.606049, Y: -220.174744, Z: 907.591797
X: -95.939384, Y: -220.407761, Z: 906.244873
X: -93.636360, Y: -223.320389, Z: 904.163269
X: -95.575752, Y: -225.766983, Z: 906.367310
X: -97.878777, Y: -217.611649, Z: 904.775452
X: -97.757568, Y: -219.941742, Z: 907.346924
X: -95.575752, Y: -219.009705, Z: 906.489746
X: -99.090904, Y: -219.592224, Z: 906.000000
X: -101.515137, Y: -222.155319, Z: 904.408142
X: -99.454544, Y: -222.621353, Z: 905.510132
X: -97.757568, Y: -222.038834, Z: 905.265259
X: -94.606056, Y: -220.058243, Z: 905.632629
X: -93.878777, Y: -216.563095, Z: 907.959167
X: -98.969688, Y: -219.242706, Z: 909.795898
X: -97.757568, Y: -218.660187, Z: 904.775452
X: -96.666656, Y: -219.009705, Z: 905.632629
X: -100.424240, Y: -220.640762, Z: 902.571411
X: -100.181808, Y: -221.223297, Z: 905.510132
X: -98.242416, Y: -219.009705, Z: 906.244873
X: -97.272720, Y: -222.737854, Z: 906.122437
X: -97.151505, Y: -219.475723, Z: 907.836731
X: -92.424240, Y: -218.893188, Z: 908.448914
X: -94.242416, Y: -222.038834, Z: 905.387695
X: -96.303024, Y: -220.873779, Z: 906.244873
X: -94.848473, Y: -220.291245, Z: 904.775452
X: -98.121208, Y: -217.844666, Z: 904.285706
X: -97.393936, Y: -218.776688, Z: 908.571350
X: -98.242416, Y: -218.427170, Z: 901.836731
X: -102.727264, Y: -220.873779, Z: 908.816345
X: -98.484840, Y: -222.970871, Z: 903.795837
X: -97.393936, Y: -220.058243, Z: 910.163208
X: -98.121208, Y: -216.912613, Z: 905.020386
X: -97.030296, Y: -221.456299, Z: 906.612183
X: -98.242416, Y: -221.106796, Z: 906.857117
X: -96.060600, Y: -220.174744, Z: 906.979553
X: -96.060600, Y: -220.757278, Z: 899.877563
X: -98.121208, Y: -221.456299, Z: 905.142822
X: -98.727264, Y: -215.048538, Z: 908.081604
X: -101.393936, Y: -219.825241, Z: 903.795837
X: -99.090904, Y: -223.087372, Z: 903.795837
X: -97.878777, Y: -220.174744, Z: 904.285706
X: -96.545448, Y: -222.271835, Z: 906.000000
X: -95.939384, Y: -218.077652, Z: 904.408142
X: -98.727264, Y: -221.106796, Z: 908.938782
X: -96.303024, Y: -216.330078, Z: 906.244873
X: -96.666656, Y: -220.407761, Z: 905.510132
X: -96.666656, Y: -224.601929, Z: 903.918335
X: -98.606049, Y: -218.660187, Z: 903.795837
X: -98.969688, Y: -220.174744, Z: 905.142822
X: -101.393936, Y: -218.660187, Z: 907.469360
X: -98.606049, Y: -220.640762, Z: 904.653015
X: -94.484840, Y: -219.126205, Z: 906.122437
X: -93.151505, Y: -221.689316, Z: 903.061218
X: -95.090904, Y: -222.737854, Z: 906.979553
X: -92.060600, Y: -219.242706, Z: 907.836731
X: -95.939384, Y: -220.058243, Z: 901.714233
X: -102.727264, Y: -220.640762, Z: 904.285706
X: -99.696960, Y: -221.223297, Z: 907.346924
X: -99.696960, Y: -220.524261, Z: 904.653015
X: -98.242416, Y: -221.922333, Z: 905.265259
X: -97.393936, Y: -224.951447, Z: 908.204041
X: -93.757568, Y: -222.388336, Z: 905.510132
X: -98.848473, Y: -216.330078, Z: 908.571350
X: -97.636353, Y: -220.291245, Z: 903.428528
X: -99.575745, Y: -221.922333, Z: 904.163269
X: -94.848473, Y: -222.271835, Z: 901.591797
X: -97.999992, Y: -222.155319, Z: 908.816345
X: -99.212112, Y: -217.961166, Z: 905.142822
X: -95.939384, Y: -220.524261, Z: 907.959167
X: -95.090904, Y: -222.271835, Z: 905.755066
X: -96.303024, Y: -221.339798, Z: 906.244873
X: -95.090904, Y: -219.825241, Z: 904.163269
