SWV ITM Data Console - ITM Port: 0
X: 47.696968, Y: -58.699028, Z: 939.183594
X: 49.757576, Y: -59.864079, Z: 939.306091
X: 51.818176, Y: -63.359222, Z: 942.122375
X: 47.212120, Y: -61.961166, Z: 935.510193
X: 48.545452, Y: -61.844658, Z: 938.816284
X: 48.909088, Y: -59.281551, Z: 939.428589
X: 49.757576, Y: -63.009708, Z: 936.857117
X: 48.545452, Y: -59.281551, Z: 938.693848
X: 47.575756, Y: -60.796116, Z: 937.959167
X: 51.454544, Y: -61.262135, Z: 940.163208
X: 49.636360, Y: -59.048542, Z: 940.163208
X: 47.090904, Y: -64.058250, Z: 936.734680
X: 47.939388, Y: -59.281551, Z: 938.816284
X: 48.060604, Y: -61.378639, Z: 939.918335
X: 50.484844, Y: -61.495144, Z: 938.204041
X: 47.333332, Y: -60.330097, Z: 936.489807
X: 49.878784, Y: -61.378639, Z: 936.612244
X: 48.666664, Y: -61.961166, Z: 937.836731
X: 46.606056, Y: -58.815533, Z: 938.938721
X: 49.272724, Y: -59.864079, Z: 938.448975
X: 47.090904, Y: -61.611649, Z: 936.122375
X: 51.575756, Y: -58.466019, Z: 937.224426
X: 49.393936, Y: -62.427185, Z: 937.346863
X: 47.333332, Y: -58.815533, Z: 937.959167
X: 51.818176, Y: -59.165047, Z: 936.489807
X: 47.090904, Y: -63.359222, Z: 939.306091
X: 50.121208, Y: -55.902912, Z: 940.285645
X: 50.848480, Y: -62.077667, Z: 935.387695
X: 46.363636, Y: -65.223297, Z: 937.591797
X: 46.484844, Y: -59.631065, Z: 938.693848
X: 47.939388, Y: -60.097084, Z: 939.306091
X: 47.818180, Y: -58.582520, Z: 938.571411
X: 48.424240, Y: -61.844658, Z: 939.918335
X: 49.999996, Y: -60.213589, Z: 938.693848
X: 45.999996, Y: -63.126209, Z: 938.938721
X: 49.999996, Y: -59.980583, Z: 937.836731
X: 47.212120, Y: -61.145630, Z: 938.571411
X: 48.787876, Y: -62.893204, Z: 940.408142
X: 49.999996, Y: -59.398056, Z: 938.204041
X: 49.272724, Y: -60.796116, Z: 937.836731
X: 46.727272, Y: -60.679607, Z: 938.448975
X: 49.272724, Y: -60.679607, Z: 937.959167
X: 48.787876, Y: -65.572815, Z: 939.306091
X: 46.121208, Y: -61.145630, Z: 937.469360
X: 49.272724, Y: -60.796116, Z: 938.326477
X: 47.939388, Y: -60.912621, Z: 937.346863
X: 50.484844, Y: -63.009708, Z: 938.816284
X: 48.545452, Y: -62.077667, Z: 941.265259
X: 48.181816, Y: -59.747570, Z: 937.346863
X: 47.575756, Y: -59.165047, Z: 938.571411
X: 50.121208, Y: -60.563103, Z: 937.224426
X: 45.999996, Y: -59.980583, Z: 938.448975
X: 49.878784, Y: -61.378639, Z: 938.571411
X: 45.151512, Y: -62.427185, Z: 938.326477
X: 52.424240, Y: -59.165047, Z: 937.959167
X: 48.424240, Y: -61.844658, Z: 936.612244
X: 46.484844, Y: -60.213589, Z: 938.938721
X: 47.333332, Y: -61.495144, Z: 939.061157
X: 48.545452, Y: -60.330097, Z: 937.469360
X: 46.606056, Y: -61.611649, Z: 937.101990
X: 49.030300, Y: -63.359222, Z: 937.346863
X: 49.878784, Y: -59.747570, Z: 937.346863
X: 47.939388, Y: -61.844658, Z: 937.836731
X: 45.878788, Y: -63.126209, Z: 937.346863
X: 49.999996, Y: -61.378639, Z: 941.020386
X: 49.151512, Y: -59.864079, Z: 936.734680
X: 49.636360, Y: -61.495144, Z: 938.326477
X: 47.575756, Y: -61.728153, Z: 940.163208
X: 49.515148, Y: -61.029121, Z: 938.693848
X: 50.727272, Y: -63.941746, Z: 938.938721
X: 45.272724, Y: -59.980583, Z: 939.551025
X: 47.939388, Y: -60.097084, Z: 939.183594
X: 49.030300, Y: -60.097084, Z: 938.081604
X: 47.939388, Y: -59.631065, Z: 937.346863
X: 49.030300, Y: -60.446602, Z: 937.714233
X: 48.787876, Y: -61.495144, Z: 936.367310
X: 46.848484, Y: -63.708736, Z: 937.959167
X: 49.999996, Y: -61.145630, Z: 937.714233
X: 47.939388, Y: -61.145630, Z: 937.836731
X: 49.030300, Y: -59.631065, Z: 938.448975
X: 47.696968, Y: -62.660191, Z: 938.326477
X: 51.818176, Y: -60.796116, Z: 939.795898
X: 51.090908, Y: -60.563103, Z: 937.591797
X: 46.969692, Y: -60.213589, Z: 938.816284
X: 48.060604, Y: -60.330097, Z: 938.816284
X: 49.393936, Y: -63.359222, Z: 938.204041
X: 47.939388, Y: -62.194172, Z: 937.224426
X: 49.999996, Y: -60.097084, Z: 938.448975
X: 49.272724, Y: -61.495144, Z: 938.571411
X: 48.666664, Y: -59.864079, Z: 940.530579
X: 49.636360, Y: -61.495144, Z: 934.530579
X: 46.242424, Y: -65.922333, Z: 938.693848
X: 48.787876, Y: -58.815533, Z: 936.489807
X: 48.545452, Y: -63.242718, Z: 936.612244
X: 47.939388, Y: -60.796116, Z: 938.571411
X: 48.545452, Y: -59.980583, Z: 937.346863
X: 47.454540, Y: -62.427185, Z: 939.795898
X: 46.484844, Y: -60.563103, Z: 938.938721
X: 47.212120, Y: -59.514561, Z: 936.857117
X: 48.303028, Y: -61.029121, Z: 936.244873
X: 47.818180, Y: -61.378639, Z: 938.571411
X: 50.606060, Y: -58.815533, Z: 938.081604
X: 44.060600, Y: -58.815533, Z: 938.448975
X: 49.151512, Y: -63.941746, Z: 940.408142
