SWV ITM Data Console - ITM Port: 0
X: 993.393860, Y: -866.077698, Z: 235.959198
X: 1065.151489, Y: -780.330078, Z: 158.204071
X: 1132.424194, Y: -806.310608, Z: 84.857132
X: 1033.515137, Y: -592.291260, Z: 132.122452
X: 1101.999878, Y: -493.145599, Z: 175.836731
X: 1017.757507, Y: -445.029114, Z: -87.551018
X: 753.757568, Y: -313.961151, Z: -36.979591
X: 430.727234, Y: -121.145622, Z: 308.081635
X: 155.575745, Y: -72.446602, Z: 258.367340
X: 2.121213, Y: -108.563103, Z: 33.918365
X: -96.909081, Y: -264.563080, Z: -156.000000
X: -165.757568, Y: -480.563080, Z: -6.122452
X: 107.696968, Y: -580.174744, Z: 226.530609
X: 495.090881, Y: -904.757263, Z: 146.326523
X: 827.090881, Y: -1003.669861, Z: 19.836731
X: 1330.242310, Y: -1198.815552, Z: -253.591843
X: 1507.090820, Y: -984.912598, Z: 120.244888
X: 1574.969604, Y: -857.456299, Z: -191.755096
X: 1316.908936, Y: -1200.097046, Z: -450.489777
X: 1159.575684, Y: -823.087341, Z: 174.367340
X: 995.333252, Y: -828.213562, Z: -14.693882
X: 813.151489, Y: -867.242676, Z: -164.204071
X: 656.181763, Y: -726.970825, Z: -82.408165
X: 773.272644, Y: -693.766968, Z: -78.612244
X: 800.424133, Y: -621.067932, Z: -130.163269
X: 778.000000, Y: -641.572754, Z: -88.530609
X: 893.515076, Y: -775.087341, Z: -165.918365
X: 928.545410, Y: -929.689270, Z: -226.530609
X: 940.181763, Y: -892.873779, Z: 83.387756
X: 1005.515076, Y: -990.038818, Z: 124.285706
X: 1047.333252, Y: -1059.475708, Z: -40.163269
X: 1118.484863, Y: -1011.592224, Z: 9.428574
X: 1240.181763, Y: -1138.582397, Z: -131.142853
X: 1339.212036, Y: -979.087341, Z: 18.122444
X: 1313.999878, Y: -808.174744, Z: 54.244896
X: 1285.757568, Y: -706.932007, Z: -59.510204
X: 1173.030273, Y: -448.873749, Z: 52.530609
X: 1092.666626, Y: -300.097076, Z: 30.244888
X: 855.696899, Y: -191.398056, Z: -67.836731
X: 574.484802, Y: -7.553398, Z: 164.204086
X: 361.151489, Y: 77.145622, Z: 275.632629
X: 64.181816, Y: 123.165054, Z: 210.367340
X: -101.151512, Y: 181.766983, Z: 258.734680
X: -129.030289, Y: 180.019409, Z: 189.061218
X: -76.060600, Y: 12.718447, Z: 110.326523
X: -18.121210, Y: -65.572815, Z: 227.387726
X: 540.424194, Y: -38.660194, Z: 198.857147
X: 1004.666565, Y: -364.174744, Z: -88.285713
X: 736.181763, Y: -569.106812, Z: -150.244888
X: 1102.848389, Y: -592.873779, Z: -9.183674
X: 1278.727173, Y: -900.330078, Z: -205.469391
X: 1027.333252, Y: -1117.378662, Z: -201.918365
X: 1607.212036, Y: -700.757263, Z: 282.489777
X: 1456.545288, Y: -976.174744, Z: -204.122437
X: 1206.969604, Y: -1036.640747, Z: -263.632629
X: 1048.909058, Y: -921.184387, Z: -35.142860
X: 847.818115, Y: -990.271851, Z: 76.530609
X: 889.636292, Y: -629.805786, Z: 170.816315
X: 843.212097, Y: -750.737793, Z: -78.000000
X: 602.484802, Y: -769.495117, Z: -268.408142
X: 591.090820, Y: -716.485413, Z: 105.306122
X: 933.151428, Y: -613.378601, Z: 67.714279
X: 1151.575684, Y: -919.203857, Z: -224.571426
X: 1110.848389, Y: -988.291199, Z: -199.714279
X: 1015.696899, Y: -1029.650391, Z: -24.122448
X: 1058.242432, Y: -1077.883423, Z: 31.714279
X: 1175.818115, Y: -1183.669922, Z: -121.469383
X: 1259.696899, Y: -1178.893188, Z: -108.244896
X: 1297.151489, Y: -1100.135864, Z: -204.122437
X: 1427.090820, Y: -1044.796021, Z: -8.816326
X: 1277.878662, Y: -773.922302, Z: -69.673470
X: 1097.151489, Y: -538.582520, Z: -156.979584
X: 1153.030273, Y: -317.456299, Z: -21.428574
