SWV ITM Data Console - ITM Port: 0
X: 1431.212036, Y: -836.252380, Z: 99.428558
X: 1524.181641, Y: -885.650452, Z: 76.530609
X: 1414.363525, Y: -867.825256, Z: 89.142853
X: 1332.060547, Y: -851.514587, Z: 42.489792
X: 1177.030273, Y: -693.184448, Z: -86.693878
X: 1107.090820, Y: -571.203857, Z: -312.000000
X: 900.545349, Y: -327.009705, Z: 235.224487
X: 915.696899, Y: -207.941742, Z: -116.081635
X: 554.606018, Y: -14.660194, Z: -99.061218
X: 113.272720, Y: 155.203888, Z: 275.877563
X: -453.515137, Y: 318.893188, Z: 171.306107
X: -809.515137, Y: 322.388336, Z: 138.244888
X: -843.575684, Y: 316.912628, Z: 290.326538
X: -327.696960, Y: 149.145630, Z: 193.346939
X: 80.424240, Y: 61.999992, Z: -79.591835
X: 1055.939331, Y: -53.106792, Z: 122.816315
X: 786.606018, Y: -421.262115, Z: -97.346939
X: 1084.909058, Y: -298.932037, Z: -65.142860
X: 1310.605957, Y: -715.669861, Z: 233.020416
X: 1219.212036, Y: -693.184448, Z: 30.367340
X: 1413.878662, Y: -799.553406, Z: -83.877548
X: 1266.484741, Y: -884.601868, Z: -6.734699
X: 1025.151489, Y: -740.368896, Z: -64.775513
X: 1354.484741, Y: -551.281494, Z: 302.081635
X: 1272.302856, Y: -572.368896, Z: 5.755096
X: 1134.363525, Y: -490.000000, Z: 319.591827
X: 1347.818115, Y: -483.475708, Z: 308.571411
X: 1536.424072, Y: -641.689331, Z: 157.959167
X: 1398.969604, Y: -695.281494, Z: 130.897964
X: 1320.181763, Y: -684.213562, Z: 186.000000
X: 1453.999878, Y: -838.116455, Z: 27.918365
X: 1366.363525, Y: -855.708679, Z: 123.306122
X: 1343.939331, Y: -824.019409, Z: 47.142853
X: 1285.030273, Y: -767.398071, Z: 27.061226
X: 1212.909058, Y: -572.718445, Z: 119.510208
X: 1225.151489, Y: -507.592194, Z: -74.938774
X: 918.727173, Y: -296.368927, Z: 53.877548
X: 887.939331, Y: -101.572815, Z: -59.020409
X: 665.151428, Y: 78.077667, Z: -102.122452
X: 296.666626, Y: 215.203873, Z: 39.061218
X: -81.393929, Y: 294.893188, Z: 35.755096
X: -757.030273, Y: 317.145630, Z: 160.775513
X: -853.636292, Y: 333.805817, Z: 208.163239
X: -580.787842, Y: 265.417450, Z: 310.897949
X: -107.333321, Y: 211.126205, Z: 9.306122
X: 417.151489, Y: -263.864075, Z: -3.918369
X: 784.060547, Y: -117.883492, Z: 233.877563
X: 1442.848389, Y: -585.650452, Z: -166.040817
X: 873.515137, Y: -807.009705, Z: -496.163269
X: 1061.757568, Y: -514.932007, Z: 72.244888
X: 1493.151367, Y: -742.349487, Z: 360.367340
X: 963.212097, Y: -930.038757, Z: -226.040817
X: 910.484802, Y: -928.058228, Z: -94.897964
X: 1441.878662, Y: -819.009644, Z: 13.346939
X: 1175.333252, Y: -934.932007, Z: -256.040802
X: 937.030273, Y: -952.873718, Z: -258.857117
X: 930.484741, Y: -680.485413, Z: 82.775513
X: 1307.575684, Y: -525.883484, Z: 172.653061
X: 1324.909058, Y: -671.514526, Z: 129.673462
X: 1322.000000, Y: -841.611633, Z: 125.265305
X: 1293.515015, Y: -897.300964, Z: -9.306122
X: 1218.121094, Y: -911.980530, Z: -75.673470
X: 1388.787842, Y: -1047.941650, Z: 0.612244
X: 1335.575684, Y: -975.126160, Z: 95.142853
X: 1349.030273, Y: -866.427185, Z: 36.612244
X: 1216.909058, Y: -673.961182, Z: 35.265305
X: 1227.696899, Y: -520.058228, Z: -152.326523
X: 1003.939331, Y: -325.145630, Z: -61.836735
X: 1004.908997, Y: -212.252411, Z: -117.795914
X: 647.818176, Y: -107.631065, Z: -129.918365
X: 117.393936, Y: 12.485435, Z: -10.775513
X: -384.303009, Y: 214.388336, Z: 188.448975
X: -913.151428, Y: 287.203888, Z: 209.877533
X: -688.424194, Y: 293.495148, Z: 263.877533
X: -341.272675, Y: 226.621353, Z: 307.469391
X: 93.878784, Y: 139.825226, Z: 118.897949
X: 602.727234, Y: -87.592232, Z: 291.795898
X: 1479.454468, Y: -69.300964, Z: -271.591858
X: 1416.787720, Y: -126.271835, Z: -279.306122
X: 680.545410, Y: -496.990265, Z: 359.387756
X: 724.181763, Y: -857.339783, Z: -83.020409
X: 1279.333252, Y: -807.592163, Z: 70.040817
X: 1693.030151, Y: -645.300964, Z: 227.020416
X: 1283.818115, Y: -772.291199, Z: -55.591835
X: 852.181763, Y: -827.514526, Z: 13.469391
X: 1035.212036, Y: -786.621338, Z: -67.714287
X: 1183.212036, Y: -702.737793, Z: 4.285713
X: 1316.060547, Y: -631.786377, Z: 185.755096
X: 1205.757446, Y: -562.116516, Z: 213.061218
X: 1333.878784, Y: -615.242676, Z: 171.673462
X: 1332.787720, Y: -686.194153, Z: 242.693848
X: 1219.575684, Y: -831.708740, Z: 69.428574
X: 1184.666504, Y: -870.155273, Z: -64.408165
X: 1351.333130, Y: -954.388306, Z: -12.000004
X: 1413.878662, Y: -1069.844604, Z: -88.408165
X: 1303.818115, Y: -892.873779, Z: -61.836735
X: 1441.393799, Y: -925.029114, Z: -74.081635
X: 1238.969604, Y: -628.990295, Z: -188.448975
X: 1089.151489, Y: -427.087341, Z: 42.244896
X: 974.363586, Y: -271.087372, Z: -90.244896
X: 400.545410, Y: -17.572815, Z: -3.918369
X: 145.878784, Y: 89.961166, Z: 46.408157
X: -363.696930, Y: 246.893219, Z: 175.591827
X: -712.545410, Y: 291.048523, Z: 175.959167
X: -714.000000, Y: 361.533966, Z: 236.816315
X: -268.545410, Y: 374.466003, Z: 188.326523
X: 300.666626, Y: 242.815521, Z: -42.979591
X: 495.333282, Y: 147.048538, Z: 459.306091
X: 1207.454468, Y: -135.475708, Z: -247.591827
X: 902.969604, Y: -374.310669, Z: -78.367348
X: 912.909058, Y: -539.631042, Z: 46.530602
X: 1364.545410, Y: -604.058228, Z: -26.938778
X: 1271.939331, Y: -537.300964, Z: 414.489777
X: 1191.939331, Y: -756.213562, Z: 179.020401
X: 1014.606018, Y: -912.912598, Z: -162.489792
X: 1042.727173, Y: -921.650452, Z: -74.816330
X: 1147.696899, Y: -774.737854, Z: 41.020409
X: 1299.212036, Y: -568.291260, Z: 171.061218
X: 1252.666626, Y: -510.504822, Z: 170.816315
X: 1355.696899, Y: -487.436859, Z: 202.408173
X: 1511.696777, Y: -561.184448, Z: 221.142853
X: 1420.302856, Y: -793.495117, Z: 61.714287
X: 1297.515137, Y: -805.961121, Z: 6.857140
X: 1341.757446, Y: -897.067932, Z: 17.142853
X: 1288.060547, Y: -888.912598, Z: -68.326530
X: 1340.909058, Y: -875.864014, Z: 17.632652
X: 1486.605957, Y: -897.300964, Z: -85.224487
X: 1277.999878, Y: -749.689331, Z: -149.632660
X: 1243.090820, Y: -519.009644, Z: -28.775513
X: 1054.363525, Y: -281.805817, Z: -110.204086
X: 729.393921, Y: -52.757282, Z: 171.183670
X: 382.363617, Y: -23.281551, Z: -48.367348
X: -277.878784, Y: 120.601944, Z: 68.448975
X: -653.030212, Y: 192.718430, Z: 345.306091
X: -813.393860, Y: 222.893188, Z: 282.857147
X: -515.696960, Y: 189.689316, Z: 267.551025
X: -4.666665, Y: 134.815536, Z: 63.428566
X: 332.666656, Y: -42.038834, Z: 127.959183
X: 888.666626, Y: -113.223297, Z: 341.755096
X: 971.575684, Y: -620.834900, Z: 45.795921
X: 930.121155, Y: -1021.611572, Z: -288.612244
X: 1600.787842, Y: -667.553345, Z: -190.040817
